,,,,Irish Grid,,,,,
County,Station Number,name,Height (m),Easting,Northing,Latitude,Longitude,Open Year,Close Year
Cork,5704,AHERLAMORE,122,150000,66600,51.843,-8.722,1985,
Cork,1203,ALLIHIES G.S.,58,58700,45400,51.639,-10.038,1950,1969
Cork,306,ARAGLEN G.S.,94,192700,106100,52.204,-8.104,1944,1958
Cork,5006,ARAGLEN TROUT FARM,91,190800,105500,52.201,-8.134,1981,1982
Cork,6806,ARAGLEN TROUT FARM II,73,190500,105300,52.193,-8.136,1988,1991
Cork,1104,BALLINACURRA,7,188500,72000,51.9,-8.167,1909,1984
Cork,5304,BALLINACURRA NO.2,17,188900,71500,51.891,-8.157,1984,2002
Cork,2504,BALLINAGREE (HORSEMOUNT),162,135400,79800,51.967,-8.937,1948,1977
Cork,2904,BALLINAGREE (MUSHERA),351,135700,85500,52.017,-8.935,1948,2005
Cork,2304,BALLINCURRIG G.S.,92,184500,81700,51.986,-8.222,1944,1969
Cork,6204,BALLINCURRIG_(Peafield),158,186285,84265,52.007,-8.2,1995,
Cork,4002,BALLINEEN,46,134300,54000,51.734,-8.951,1985,2012
Cork,2602,BALLINEEN G.S.,46,134500,54000,51.734,-8.942,1950,1987
Cork,4602,BALLINEEN_(Carbery),42,132510,53585,51.725,-8.973,1995,
Cork,5002,BALLINEEN_Caherkirky,165,131800,49115,51.688,-8.985,1999,
Cork,3004,BALLINGEARY_(Voc.Sch.),91,115000,67100,51.85,-9.233,1948,
Cork,104,BALLINHASSIG RECTORY,73,163200,62800,51.817,-8.533,1941,1943
Cork,2102,BALLINSPITTLE G.S.,15,158700,46200,51.667,-8.592,1949,1995
Cork,5702,BALLINSPITTLE_(Kilkerran),100,158895,47685,51.675,-8.59,2012,
Cork,4402,BALLINTRIDEEN,91,169200,57100,51.76,-8.441,1994,2005
Cork,1702,BALLYDEHOB G.S.,20,98700,35100,51.556,-9.457,1948,1985
Cork,3906,BALLYDESMOND (EAST) G.S.,207,116000,103600,52.173,-9.223,1964,1967
Cork,1006,BALLYDESMOND G.S.,198,115200,103900,52.175,-9.237,1941,1964
Cork,5106,BALLYDINEEN DONERAILE,143,159900,105200,52.192,-8.585,1982,1984
Cork,7906,BALLYHOOLY (CASTLEBLAGH),140,171900,97600,52.124,-8.406,2001,
Cork,4404,BALLYMACODA_(Mountcotton),64,205500,69900,51.876,-7.919,1976,
Cork,2006,BALLYNOE G.S.,97,193100,89700,52.056,-8.1,1944,1996
Cork,1704,BALLYVOURNEY G.S.,129,119700,77700,51.941,-9.167,1942,1985
Cork,2604,BALLYVOURNEY_(Clountycarty),152,121000,71500,51.887,-9.142,1948,2017
Cork,4102,BANDON (COOLFADDA),94,148100,55400,51.742,-8.751,1985,2000
Cork,502,BANDON (FLORAVILLE),64,148200,55600,51.75,-8.75,1940,1948
Cork,5102,BANDON (HILLVIEW),67,149300,54700,51.739,-8.734,1999,2010
Cork,1502,BANDON (VOC.SCH.),34,149000,55500,51.75,-8.737,1948,1972
Cork,5602,BANDON_(The-Gully),60,147895,54580,51.738,-8.753,2012,
Cork,5502,BANDON_WATERWORKS,105,143995,55510,51.743,-8.807,2010,
Cork,7506,BANTEER (GLENSOUTH),161,142500,92600,52.076,-8.837,1997,2015
Cork,2206,BANTEER G.S.,75,139100,98000,52.125,-8.887,1944,1970
Cork,6306,BANTEER LYRE,267,141500,92500,52.075,-8.852,1985,
Cork,1101,BANTRY (ARDNAGASHEL),16,98100,52900,51.718,-9.472,1953,1989
